stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"MOBIITI:StopPlace:77336",,"Charnay Frachet",,,45.188148,0.733704,,,1,,,2,,
"MOBIITI:StopPlace:77457",,"Sorges - Les Potences",,,45.262451,0.826697,,,1,,,2,,
"MOBIITI:StopPlace:77212",,"Lavaure Haute",,,45.216171,0.677655,,,1,,,2,,
"MOBIITI:StopPlace:77333",,"Parmentier",,,45.185379,0.738567,,,1,,,2,,
"MOBIITI:StopPlace:77215",,"Al. des Fauvettes",,,45.219753,0.652993,,,1,,,2,,
"MOBIITI:StopPlace:77454",,"Les Piles",,,45.252312,0.811385,"",,1,,,2,,
"MOBIITI:StopPlace:77334",,"Le Gué de Barnabé",,,45.186180,0.738224,,,1,,,2,,
"MOBIITI:StopPlace:77214",,"Parricot",,,45.213104,0.667654,,,1,,,2,,
"MOBIITI:StopPlace:77331",,"Rte de Ribérac",,,45.196796,0.653659,,,1,,,1,,
"MOBIITI:StopPlace:77452",,"La Luminade",,,45.241982,0.782296,,,1,,,2,,
"MOBIITI:StopPlace:2501",,"LR TRELISSAC - Les Garennes",,"",45.195683,0.783065,"",,1,,,0,,
"MOBIITI:StopPlace:77332",,"Bd de Saltgourde",,,45.197918,0.669917,,,1,,,2,,
"MOBIITI:StopPlace:77453",,"Lacombe",,,45.236084,0.784248,,,1,,,2,,
"MOBIITI:StopPlace:77211",,"Puy de l'Arche",,,45.212997,0.680347,,,1,,,2,,
"MOBIITI:StopPlace:77450",,"Sorges - Les Chabannes",,,45.285629,0.850295,,,1,,,2,,
"MOBIITI:StopPlace:77330",,"Av. du Château",,,45.194759,0.666050,,,1,,,2,,
"MOBIITI:StopPlace:77210",,"Les Alisiers",,,45.215603,0.646568,,,1,,,2,,
"MOBIITI:StopPlace:77451",,"Sorges - Bourg Place Mallet",,,45.307835,0.871003,,,1,,,2,,
"MOBIITI:StopPlace:77339",,"Église St-Georges",,,45.179726,0.728530,,,1,,,1,,
"MOBIITI:StopPlace:77217",,"Le Charpré",,,45.209049,0.658270,,,1,,,2,,
"MOBIITI:StopPlace:77216",,"Lavaure Basse",,,45.217693,0.672165,,,1,,,2,,
"MOBIITI:StopPlace:77337",,"Les Mondoux",,,45.185459,0.730113,,,1,,,2,,
"MOBIITI:StopPlace:77219",,"Les Bruyères",,,45.213760,0.650157,,,1,,,2,,
"MOBIITI:StopPlace:77458",,"Sorges - Le Poteau",,,45.323143,0.871539,,,1,,,2,,
"MOBIITI:StopPlace:77338",,"Albert Martin",,,45.185886,0.735357,,,1,,,2,,
"MOBIITI:StopPlace:77218",,"Bois Ouest",,,45.213337,0.646459,,,1,,,2,,
"MOBIITI:StopPlace:77544",,"Marsac Piscine",,,45.187916,0.660845,,,1,,,2,,
"MOBIITI:StopPlace:77302",,"Puyrousseau",,,45.201756,0.710452,,,1,,,2,,
"MOBIITI:StopPlace:77423",,"Les Broudissoux",,,45.262993,0.751231,,,1,,,2,,
"MOBIITI:StopPlace:77303",,"La Rudeille",,,45.198421,0.726423,,,1,,,2,,
"MOBIITI:StopPlace:77424",,"Le Pouliquet",,,45.267822,0.749816,,,1,,,2,,
"MOBIITI:StopPlace:77300",,"Maison Rouge",,,45.207432,0.714456,,,1,,,2,,
"MOBIITI:StopPlace:77542",,"Saint Laurent des Bâtons - Ecole",,,44.959042,0.737964,,,1,,,2,,
"MOBIITI:StopPlace:77421",,"Agonac Bourg",,,45.291321,0.751075,,,1,,,2,,
"MOBIITI:StopPlace:77543",,"Chantecor",,,45.201866,0.743627,,,1,,,0,,
"MOBIITI:StopPlace:77301",,"Les Jaures",,,45.206081,0.715499,,,1,,,1,,
